1.e-20   3.900
2.002e-5 3.900
2.265e-5 3.900
2.636e-5 3.858
2.851e-5 3.858
3.317e-5 3.900
4.223e-5 3.943
6.149e-5 4.028
8.187e-5 4.326
1.008e-4 4.836
1.247e-4 5.517
1.526e-4 6.326
1.786e-4 7.007
2.043e-4 7.645
2.324e-4 8.113
2.720e-4 8.709
3.112e-4 9.092
3.873e-4 9.603
4.583e-4 9.901
5.454e-4 10.156
6.941e-4 10.411
8.935e-4 10.496
0.001 10.582
0.002 10.709
0.003 10.794
0.004 10.752
0.006 10.752
0.007 10.752
0.009 10.794
0.016 10.965
0.020 11.262
0.026 11.858
0.034 12.752
0.041 13.433
0.048 14.114
0.056 14.752
0.065 15.263
0.075 15.731
0.083 16.114
0.098 16.922
0.108 17.603
0.115 18.752
0.124 19.816
0.138 22.200
0.143 23.774
0.151 26.115
0.156 27.647
0.163 30.115
0.169 31.817
0.177 34.030
0.184 35.903
0.194 38.031
0.201 40.031
0.210 42.116
0.219 44.031
0.228 46.116
0.240 48.032
0.254 50.202
0.267 52.032
0.275 52.670
0.283 54.500
0.307 56.883
0.325 58.543
0.356 60.543
0.385 62.416
0.428 64.373
0.481 66.076
0.554 67.906
0.630 69.565
0.729 71.438
0.820 72.842
0.982 74.885
1.123 76.289
1.278 77.779
1.462 79.013
1.600 79.651
1.925 81.268
2.202 82.205
2.329 82.503
2.883 83.609
3.568 84.460
4.175 84.971
5.344 85.396
6.253 85.609
8.371 85.950
9.524 86.120
10.655   86.333
12.260   86.716
14.426   87.141
16.505   87.865
18.055   88.461
19.640   89.184
22.096   90.290
24.036   91.184
27.042   92.248
28.283   92.929
30.595   93.950
32.360   94.631
34.420   95.397
37.025   96.334
40.959   97.440
43.566   97.993
50.127   99.398
53.618   100.121
59.649   100.972
65.988   101.653
75.499   102.547
88.839   103.355
97.183   103.738
121.633  104.377
139.949  104.717
158.334  104.930
185.268  105.185
229.293  105.356
351.216  105.568
608.643  105.696
1014.132 105.739
1807.450 105.739
3011.608 105.696
5131.890 105.739
9620.068 105.781
1.e10 105.781
